attitude.roll,attitude.pitch,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,activity
0.23924,-1.444816,-1.982323,1.592905,-0.97837,-0.059953,1.250677,0.567997,0.029771,0.992075,downstairs
1.502147,-1.106526,1.979639,0.6452439999999999,1.043094,-0.431839,0.239702,-0.21573,0.446716,0.894149,upstairs
-1.359161,1.203622,0.59905,0.3552119999999999,-0.099198,-0.105196,0.541042,-0.122306,-0.35095,-0.933345,downstairs
2.650282,-1.060539,1.2848700000000002,0.265631,0.964628,-0.123776,-0.239746,0.009722,0.230419,0.872619,upstairs
0.666515,-1.482166,-0.0209789999999999,-0.065084,-0.064277,0.021044,0.004062,0.052728,0.054258,0.996075,standing
-1.8265240000000005,-1.2742719999999998,-0.024679,0.034742,0.005985,0.000309,0.000261,0.020395,-0.282612,0.956358,standing
2.332516,-1.307918,-0.191801,0.345219,-0.137755,-0.292777,0.270346,0.192134,0.188026,0.965646,upstairs
-1.562887,-1.255296,0.643684,3.649747,-2.540961,0.1180809999999999,-0.733738,-0.356295,-0.31028,0.950641,jogging
-0.625583,-1.13796,0.7981189999999999,-1.294826,1.124488,-0.155663,-0.231861,0.3463719999999999,-0.245613,0.90778,downstairs
0.198193,-0.486138,-0.006517,0.127624,0.047984,0.004717,0.020578,0.034347,0.174086,0.4672149999999999,sitting
0.8882459999999999,-1.256259,-1.712938,-0.1043109999999999,-0.557632,-0.214421,0.457111,-0.2782929999999999,0.24004,0.95094,downstairs
0.246009,-1.410189,1.643085,-1.6701290000000002,0.456231,0.341792,-1.072122,0.20265,0.0389459999999999,0.98713,jogging
1.740954,-1.395566,-0.014357,0.0037979999999999,-0.004725,-0.013821,0.011026,0.025842,0.171704,0.984686,standing
3.011066,-1.219084,-0.983314,0.366958,0.60942,0.384376,-0.324008,-0.016693,0.044839,0.938784,upstairs
2.180946,-1.420465,-0.019435,-0.018737,0.005286,0.00949,0.002306,0.0072489999999999,0.122743,0.988721,standing
-2.164644,-1.270034,-0.731064,-1.035344,-0.224012,0.1116829999999999,0.063001,-0.113528,-0.245517,0.955111,downstairs
-0.061448,-1.119648,-0.632307,-0.664561,0.026343,-0.238638,0.448274,-0.83642,-0.026773,0.8999469999999999,walking
2.918687,-1.231114,1.632458,1.2468860000000002,0.3826489999999999,-0.5805819999999999,0.601939,-0.587938,0.073655,0.942861,downstairs
0.314295,-0.398202,0.074921,-0.030287,-0.005952,0.000198,0.014628,-0.001674,0.284958,0.387762,sitting
0.733368,-0.332489,-0.060453,-0.033401,0.032269,-0.014933,0.010883,-0.026235,0.6327149999999999,0.326397,sitting
1.853967,-1.180464,2.931591,-0.8138340000000001,1.174452,-0.155519,-1.049981,-0.316333,0.365342,0.924783,jogging
-2.7326580000000003,-1.300254,-0.760201,-0.928516,-0.3503989999999999,0.264137,0.290448,-0.1751,-0.106254,0.963626,walking
0.003879,-1.021132,3.722525,-1.312984,1.681327,0.031635,0.113456,0.3357739999999999,0.002026,0.8527,upstairs
-1.212382,-1.497505,3.243418,-1.309711,-0.260368,0.0281279999999999,0.04042,0.369147,-0.068533,0.997315,jogging
0.377197,-1.451243,3.379953,1.76767,1.109602,0.186792,0.146405,0.355937,0.0439209999999999,0.992862,upstairs
2.3180110000000003,-1.112076,-1.122757,0.764931,-0.199649,-0.4578569999999999,0.2347429999999999,-0.12052,0.32483,0.8966200000000001,downstairs
-1.640251,-1.288607,0.768675,-0.2252969999999999,0.1837619999999999,-0.0529549999999999,-0.023696,0.085871,-0.277764,0.960448,upstairs
0.769835,-1.358508,-1.09297,1.542684,-0.552956,0.095996,-0.206967,0.190333,0.146649,0.977551,walking
0.47689,-1.351113,-0.3053349999999999,0.5708300000000001,0.2904239999999999,0.339962,0.7026680000000001,0.318766,0.10001,0.975966,downstairs
0.7119439999999999,-1.423704,-0.950089,-0.416442,-0.720811,0.122581,-0.290639,0.086932,0.0957269999999999,0.989201,downstairs
-2.066171,-1.088743,-1.253333,1.249877,0.0473339999999999,0.015706,0.104617,-0.164117,-0.407841,0.8860450000000001,upstairs
-0.46998,-0.475256,-4.120186,1.385906,0.609875,0.058609,-1.293091,1.111006,-0.40268,0.457566,jogging
1.457453,-1.205704,1.031853,0.320154,1.206187,-0.489434,0.4953369999999999,0.154547,0.354745,0.934091,upstairs
0.789443,-0.711615,1.370194,0.7014130000000001,0.4685189999999999,-0.315797,0.341785,0.680666,0.537659,0.653058,walking
-0.232334,-0.019875,0.004096,-0.003889,0.000614,0.0146889999999999,0.028848,-0.005408,-0.230204,0.019874,sitting
-0.7774770000000001,-1.388718,-0.0103349999999999,0.261165,-0.035144,-0.067459,-0.003718,-0.04282,-0.126861,0.983469,standing
2.489401,-1.357804,-0.56129,1.567857,-0.756042,0.011158,-0.15204,-0.116689,0.128277,0.977403,walking
-1.839379,-1.462278,0.029935,0.013632,-0.052273,0.011974,0.005287,0.047152,-0.1041059999999999,0.994118,standing
0.992638,-1.002666,-4.824203,2.9824080000000004,-1.81701,-1.015532,-0.520826,1.854432,0.450606,0.842908,walking
0.508494,-0.452987,0.0019219999999999,-0.003545,4.7e-05,-0.003433,-0.0039369999999999,-0.014849,0.437759,0.4376529999999999,sitting
0.400088,-1.302529,-0.794838,1.1252950000000002,-1.445799,-0.318791,1.563311,-2.036767,0.10323,0.964232,downstairs
-2.476954,-0.578803,0.0017289999999999,-0.010153,-0.00611,0.044923,-0.1247809999999999,0.117301,-0.516313,0.547022,sitting
